mac:90b1.1c95.1b38----info{'IP': '172.17.104.69', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:f8b1.56d0.1b65----info{'IP': '172.17.3.5', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:bc30.5ba7.5950----info{'IP': '172.17.104.64', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:38bc.1a9b.c57c----info{'IP': '172.17.103.222', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:bc30.5ba7.5953----info{'IP': '172.17.105.61', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:000c.297c.935b----info{'IP': '172.17.3.11', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:0025.64ab.1529----info{'IP': '172.17.3.80', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:0060.6f4d.0784----info{'IP': '172.17.5.4', 'product': 'Vlan205', 'time': '2015-02-04'}
mac:0c27.2438.ce41----info{'IP': '172.17.1.15', 'product': 'Vlan218', 'time': '2015-02-04'}
mac:d022.beee.3873----info{'IP': '172.17.103.221', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:000c.29cf.7e09----info{'IP': '172.17.101.4', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0025.64bb.8adb----info{'IP': '172.17.104.108', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:000c.29f3.e609----info{'IP': '172.17.101.27', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:3417.ebc2.c200----info{'IP': '172.17.110.116', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:000c.2942.a25e----info{'IP': '172.17.101.7', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:90b1.1c91.51a9----info{'IP': '172.17.103.229', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:ecf4.bb94.e6e1----info{'IP': '172.17.52.2', 'product': 'Vlan207', 'time': '2015-02-04'}
mac:d4be.d957.ad4e----info{'IP': '172.17.10.114', 'product': 'Vlan220', 'time': '2015-02-04'}
mac:0004.f2a8.de0f----info{'IP': '172.17.4.3', 'product': 'Vlan204', 'time': '2015-02-04'}
mac:0025.64bb.8c1e----info{'IP': '172.17.51.93', 'product': 'Vlan206', 'time': '2015-02-04'}
mac:5c51.4fa9.2e5f----info{'IP': '172.17.10.106', 'product': 'Vlan220', 'time': '2015-02-04'}
mac:0024.2c27.be8f----info{'IP': '172.17.101.107', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:f4ce.4649.fa89----info{'IP': '172.17.53.30', 'product': 'Vlan209', 'time': '2015-02-04'}
mac:f8b1.569f.38de----info{'IP': '172.17.101.85', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:b8ca.3a78.33aa----info{'IP': '172.17.105.169', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:000c.295f.9d92----info{'IP': '172.17.3.85', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:c064.c6fe.45f0----info{'IP': '172.17.10.84', 'product': 'Vlan220', 'time': '2015-02-04'}
mac:000c.2930.d112----info{'IP': '172.17.101.6', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0023.ae7c.383d----info{'IP': '172.17.3.79', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:5c26.0a77.fe30----info{'IP': '172.17.110.119', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:f8b1.569a.2406----info{'IP': '172.17.102.54', 'product': 'Vlan214', 'time': '2015-02-04'}
mac:0026.b9de.c166----info{'IP': '172.17.110.127', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:0c30.21c9.4b53----info{'IP': '172.17.103.231', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:d4be.d902.5b4a----info{'IP': '172.17.105.59', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:5c26.0a4b.badd----info{'IP': '172.17.103.178', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:3417.ebb1.1033----info{'IP': '172.17.104.68', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:f01f.af4c.78bd----info{'IP': '172.17.101.119', 'product': 'Vlan211', 'time': '2015-02-04'}
