Name	Type	Data
agcn1-wkeng100	Host (A)	172.17.105.175
agcn1-wkeng303	Host (A)	172.17.105.177
agcn1-wkeng270	Host (A)	172.17.105.184
agcn1-wkeng184	Host (A)	172.17.105.185
agcn1-wkeng127	Host (A)	172.17.105.209
agcn1-wkeng191	Host (A)	172.17.105.216
agcn1-laptop62	Host (A)	172.17.107.50
agcn1-wkeng273	Host (A)	172.17.108.51
agcn1-wkeng300	Host (A)	172.17.108.92
agcn1-wkeng197	Host (A)	172.17.108.250
agcn1-wkeng269	Host (A)	172.17.110.79
agcn1-wkeng164	Host (A)	172.17.110.83
agcn1-laptop16	Host (A)	172.17.110.84
agcn1-laptop92	Host (A)	172.17.110.88
agcn1-wkeng89	Host (A)	172.17.110.95
agcn1-wkeng220	Host (A)	172.17.110.96
agcn1-wkeng223	Host (A)	172.17.110.97
agcn1-laptop80	Host (A)	172.17.110.98
agcn1-wkeng200	Host (A)	172.17.110.99
agcn1-wkeng221	Host (A)	172.17.110.100
agcn1-wkeng260	Host (A)	172.17.110.101
agcn1-wkeng183	Host (A)	172.17.110.102
agcn1-wkeng293	Host (A)	172.17.110.103
agcn1-wkeng259	Host (A)	172.17.110.104
agcn1-wkeng285	Host (A)	172.17.110.107
agcn1-wkeng308	Host (A)	172.17.110.108
agcn1-wkeng226	Host (A)	172.17.110.110
agcn1-wkeng312	Host (A)	172.17.110.113
agcn1-wkeng139	Host (A)	172.17.110.114
agcn1-wkeng292	Host (A)	172.17.110.116
agcn1-wkeng116	Host (A)	172.17.110.117
agcn1-laptop39	Host (A)	172.17.110.119
agcn1-wkeng265	Host (A)	172.17.110.121
agcn1-wkeng217	Host (A)	172.17.110.123
agcn1-wkeng155	Host (A)	172.17.110.124
agcn1-laptop25	Host (A)	172.17.110.125
agcn1-wkeng236	Host (A)	172.17.110.126
agcn1-laptop029	Host (A)	172.17.110.127
aaxischina-alei	Host (A)	172.17.110.128
agcn1-wkeng198	Host (A)	172.17.110.148
agcn1-wkeng219	Host (A)	172.17.110.159
agcn1-wkeng290	Host (A)	172.17.110.215
agcn1-wkeng214	Host (A)	172.17.111.54
agcn1-wkeng181	Host (A)	172.17.111.55
agcn1-wkeng172	Host (A)	172.17.111.57
agcn1-wkeng114	Host (A)	172.17.111.58
agcn1-laptop85	Host (A)	172.17.111.60
agcn1-wkeng195	Host (A)	172.17.111.61
agcn1-wkeng36	Host (A)	172.17.111.62
agcn1-wkeng262	Host (A)	172.17.111.63
agcn1-laptop101	Host (A)	172.17.111.65
agcn1-wkeng304	Host (A)	172.17.111.66
agcn1-wkeng71	Host (A)	172.17.111.180
(same as parent folder)	Host (A)	172.17.255.20
agcn1-ns01	Host (A)	172.17.255.20
(same as parent folder)	Host (A)	172.17.255.21
agcn1-ns02	Host (A)	172.17.255.21
agcn1-mx01	Host (A)	172.17.255.30
mail	Host (A)	172.17.255.30
pop	Host (A)	172.17.255.30
smtp	Host (A)	172.17.255.30
_sites		
_tcp		
_udp		
domaindnszones		
forestdnszones		
(same as parent folder)	Start of Authority (SOA)	[5558], agcn1-ns01.aaxischina.net., hostmaster.aaxischina.net.
(same as parent folder)	Name Server (NS)	agcn1-ns01.aaxischina.net.
(same as parent folder)	Name Server (NS)	agcn1-ns02.aaxischina.net.
(same as parent folder)	Name Server (NS)	amazon-aec2f4c7.aaxischina.net.
