mac:f4ce.4649.fa89----info['172.17.53.30', '2015-02-10', 'Vlan209', 'null']
mac:b8ca.3a78.33aa----info['172.17.105.169', '2015-02-10', 'Vlan215', 'agcn1-wkeng180']
mac:000c.295f.9d92----info['172.17.3.85', '2015-02-10', 'Vlan216', 'null']
mac:c064.c6fe.45f0----info['172.17.10.84', '2015-02-10', 'Vlan220', 'null']
mac:000c.2930.d112----info['172.17.101.6', '2015-02-10', 'Vlan211', 'null']
mac:0023.ae7c.383d----info['172.17.3.79', '2015-02-10', 'Vlan216', 'null']
mac:5c26.0a77.fe30----info['172.17.110.119', '2015-02-10', 'Vlan225', 'agcn1-laptop39']
mac:f8b1.569a.2406----info['172.17.102.54', '2015-02-10', 'Vlan214', 'agcn1-wkeng229']
mac:0026.b9de.c166----info['172.17.110.127', '2015-02-10', 'Vlan225', 'agcn1-laptop029']
mac:0c30.21c9.4b53----info['172.17.103.231', '2015-02-10', 'Vlan212', 'null']
mac:d4be.d902.5b4a----info['172.17.105.59', '2015-02-10', 'Vlan215', 'agcn1-laptop99']
mac:5c26.0a4b.badd----info['172.17.103.178', '2015-02-10', 'Vlan212', 'agcn1-laptop35']
mac:3417.ebb1.1033----info['172.17.104.68', '2015-02-10', 'Vlan210', 'agcn1-wkeng274']
mac:f01f.af4c.78bd----info['172.17.101.119', '2015-02-10', 'Vlan211', 'agcn1-laptop63']
mac:0004.f229.def1----info['172.17.4.4', '2015-02-10', 'Vlan204', 'null']
mac:3417.ebb1.0cfb----info['172.17.101.98', '2015-02-10', 'Vlan211', 'agcn1-wkeng267']
mac:0024.e891.ec14----info['172.17.3.10', '2015-02-10', 'Vlan216', 'agcn1-laptop10']
mac:b8ac.6f3e.a853----info['172.17.105.137', '2015-02-10', 'Vlan215', 'agcn1-wkeng24']
mac:000c.2935.90fc----info['172.17.104.28', '2015-02-10', 'Vlan210', 'null']
mac:f8b1.56d0.2320----info['172.17.105.163', '2015-02-10', 'Vlan215', 'agcn1-wkeng247']
mac:f8b1.569f.37f0----info['172.17.105.122', '2015-02-10', 'Vlan215', 'agcn1-wkeng235']
mac:b8ee.6504.0f57----info['172.17.10.90', '2015-02-10', 'Vlan220', 'agcn1-laptop90']
mac:0c1d.afd3.292e----info['172.17.103.201', '2015-02-10', 'Vlan212', 'null']
mac:0025.4bb3.9ee6----info['172.17.101.112', '2015-02-10', 'Vlan211', 'null']
mac:0018.0a34.cc56----info['172.17.6.24', '2015-02-10', 'Vlan203', 'null']
mac:001d.0910.39fc----info['172.17.5.100', '2015-02-10', 'Vlan205', 'agcn1-ap01']
mac:3417.ebd0.bfc7----info['172.17.101.208', '2015-02-10', 'Vlan211', 'agcn1-wkeng305']
mac:0022.1966.accf----info['172.17.3.103', '2015-02-10', 'Vlan216', 'null']
mac:bc30.5ba2.b128----info['172.17.101.129', '2015-02-10', 'Vlan211', 'agcn1-wkeng134']
mac:000c.29b9.0bc7----info['172.17.101.17', '2015-02-10', 'Vlan211', 'null']
mac:f8b1.56d9.111d----info['172.17.105.81', '2015-02-10', 'Vlan215', 'agcn1-wkeng256']
mac:000c.2964.149a----info['172.17.111.191', '2015-02-10', 'Vlan226', 'null']
mac:0060.6f4d.3031----info['172.17.5.2', '2015-02-10', 'Vlan205', 'null']
mac:000c.2915.85e1----info['172.17.101.29', '2015-02-10', 'Vlan211', 'null']
mac:90b1.1c7a.0b76----info['172.17.110.124', '2015-02-10', 'Vlan225', 'agcn1-wkeng155']
mac:000c.29a4.8771----info['172.17.3.107', '2015-02-10', 'Vlan216', 'null']
mac:3417.ebc2.c4e4----info['172.17.103.225', '2015-02-10', 'Vlan212', 'agcn1-wkeng288']
